Time (Minutes),Pages Crawled,Keywords Extracted,Pages TODO
0.2519793833333333,415,250,1939
0.25249885,416,250,1941
0.25276081666666667,417,250,1944
0.2535716,418,250,1946
0.2536916833333333,419,255,1945
0.2544988166666667,420,257,1948
0.2546007,421,258,1963
0.25725353333333334,423,260,1981
0.25765523333333334,424,260,1983
0.2577588333333333,426,261,1988
0.2584929166666667,428,263,1986
0.25862901666666666,429,266,1998
0.2597667,430,266,2000
0.2601796333333333,432,266,2001
0.26033733333333337,433,267,2006
0.26046993333333335,434,267,2009
0.2605235,435,271,2008
0.26165788333333334,437,274,2037
0.26178635,438,277,2037
0.26185288333333334,439,279,2044
0.2618846166666667,440,282,2043
0.26193276666666665,441,286,2046
0.2634637833333333,444,288,2043
0.26441095,445,289,2045
0.2648238,446,291,2048
0.26543505,449,292,2061
0.2655524833333333,450,295,2061
0.2656955166666667,451,296,2062
0.26609855,452,298,2084
0.26625401666666665,456,298,2080
0.2663101333333333,457,299,2080
0.26687378333333334,459,301,2078
0.2671662666666667,460,306,2077
0.2675311166666667,461,306,2081
0.2681900333333333,462,308,2090
0.2686763,463,312,2107
0.26878810000000003,465,312,2105
0.2694383833333333,467,314,2109
0.26951905000000004,468,315,2108
0.27121860000000003,470,315,2295
0.2725095666666667,475,319,2293
0.27326486666666666,476,321,2296
0.2750835,479,321,2300
0.2761055666666667,481,324,2298
0.27667061666666665,487,325,2292
0.2827798,511,326,2268
0.28290978333333333,512,327,2271
0.28748419999999997,520,328,2275
0.2876737,521,330,2276
0.2879746166666666,523,332,2292
0.28828518333333336,524,333,2294
0.29369195000000003,529,337,2498
0.2941145,533,340,2554
0.29517791666666665,535,343,2561
0.2954679,536,345,2564
0.2972293,538,348,2587
0.2974344666666667,541,351,2585
0.29808593333333333,542,353,2587
0.29845686666666665,543,353,2595
0.29887795,544,353,2691
0.29901923333333336,545,353,2690
0.29951305,546,354,2690
0.29970773333333334,547,355,2721
0.29991756666666664,548,355,2720
0.30077603333333336,549,355,2719
0.3030837333333333,550,356,2800
0.30334721666666664,552,359,2800
0.3033873166666667,553,361,2799
0.3059189666666667,556,361,2806
0.30777506666666665,557,362,2814
0.3085916166666667,558,364,2819
0.3135103166666667,560,368,2862
0.3154217166666667,561,371,2866
0.31564723333333333,563,373,2864
0.3181943666666667,565,375,2862
0.31867175,566,375,2861
0.3187086,567,377,2860
0.3192034,568,377,2859
0.31939046666666665,570,379,2857
0.32130796666666667,571,379,2856
0.3213722833333333,572,381,2855
0.32147346666666665,573,381,2856
0.321849,575,381,2854
